app,"app:category","app:subcategory","app:technology","app:risk","app:evasive","app:excessive_bandwidth","app:used_by_malware","app:able_to_transfer_file","app:has_known_vulnerability","app:tunnels_other_application","app:prone_to_misuse","app:pervasive_use","app:is_saas","app:default_ports"
100bao,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/3468,6346,11300"
"104apci-supervisory","business-systems",management,"client-server",2,no,no,no,no,yes,yes,no,yes,no,"tcp/2404"
"104apci-unnumbered","business-systems",management,"client-server",2,no,no,no,no,yes,yes,no,yes,no,"tcp/2404"
"104asdu-file-transfer","business-systems",management,"client-server",3,no,no,no,yes,yes,yes,no,yes,no,"tcp/2404"
"104asdu-param-control","business-systems",management,"client-server",2,no,no,no,no,yes,yes,no,yes,no,"tcp/2404"
"104asdu-process-control","business-systems",management,"client-server",2,no,no,no,no,yes,yes,no,yes,no,"tcp/2404"
"104asdu-process-monitor","business-systems",management,"client-server",2,no,no,no,no,yes,yes,no,yes,no,"tcp/2404"
"104asdu-system-control","business-systems",management,"client-server",2,no,no,no,no,yes,yes,no,yes,no,"tcp/2404"
"104asdu-system-monitor","business-systems",management,"client-server",2,no,no,no,no,yes,yes,no,yes,no,"tcp/2404"
"1c-enterprise","business-systems","erp-crm","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/1541,1560-1591"
"1und1-mail",collaboration,email,"browser-based",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/80,443"
"2ch-base",collaboration,"social-networking","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
"2ch-posting",collaboration,"web-posting","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
"360-safeguard-update","business-systems","software-update","client-server",2,yes,no,no,no,yes,no,no,no,no,"tcp/80,8090|udp/dynamic"
3pc,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
4shared,"general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,yes,yes,yes,"tcp/80,443"
4sync,"general-internet","file-sharing","client-server",3,yes,no,no,yes,no,no,no,yes,yes,"tcp/80,443"
"51.com-base",collaboration,"social-networking","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,dynamic"
"51.com-bbs",collaboration,"web-posting","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
"51.com-games",media,gaming,"browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
