app,CATEGORY,SUBCATEGORY,TECHNOLOGY,RISK,EVASIVE,EXCESSIVE_BANDWIDTH,USED_BY_MALWARE,ABLE TO TRANSFER FILE,HAS KNOWN VULNERABILITY,TUNNELS OTHER APPLICATION,PRONE TO MISUSE,PERVASIVE_USE,SAAS
icmp,networking,ip-protocol,network-protocol,4,no,no,yes,no,yes,yes,no,yes,no
ms-iis,business-systems,management,client-server,3,no,no,no,yes,yes,no,no,yes,no
webaim,collaboration,instant-messaging,browser-based,4,yes,no,yes,no,yes,no,no,yes,yes
miro,media,photo-video,peer-to-peer,3,yes,yes,no,yes,no,no,yes,no,no
livejournal,collaboration,social-networking,browser-based,3,no,yes,no,yes,no,yes,no,yes,no
non-syn-tcp,,,,1,no,no,no,no,no,no,no,no,no
unknown-tcp,unknown,,,1,no,no,no,no,no,yes,no,no,no
unknown-udp,unknown,,,1,no,no,no,no,no,no,no,no,no
incomplete,,,,1,no,no,no,no,no,no,no,no,no
meebo,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,yes,no,yes,no
generic,,,,1,no,no,no,no,no,no,no,no,no
panav,,,,1,no,no,no,no,no,no,no,no,no
unknown,,,,1,no,no,no,no,no,no,no,no,no
spark,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
swapper,collaboration,instant-messaging,browser-based,5,yes,no,yes,yes,yes,no,no,yes,no
splunk,business-systems,management,client-server,1,no,yes,no,no,no,no,no,yes,no
fly-proxy,networking,proxy,browser-based,4,yes,no,no,no,yes,yes,yes,no,no
ares,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,yes,yes,yes,no
warez-p2p,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
emule,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
nextmedia-video,media,photo-video,browser-based,2,no,yes,no,no,yes,no,no,yes,no
samsung-updates,business-systems,software-update,browser-based,1,no,no,no,no,yes,no,no,no,no
avast-av-update,business-systems,software-update,client-server,1,no,no,no,no,yes,no,no,no,no
web-browsing,general-internet,internet-utility,browser-based,4,no,no,yes,yes,yes,yes,no,yes,no
forticlient-update,business-systems,software-update,client-server,2,yes,no,no,no,yes,no,no,no,no
2ch,collaboration,social-networking,browser-based,2,no,no,no,no,yes,no,no,yes,no
2ch-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,no,yes,no
foxy,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
pownce,collaboration,instant-messaging,client-server,4,yes,no,no,yes,yes,no,no,yes,no
medium-im,collaboration,instant-messaging,client-server,3,yes,no,no,yes,no,no,no,yes,no
octopz,collaboration,internet-conferencing,browser-based,4,yes,no,no,yes,yes,no,yes,yes,no
steam,media,gaming,client-server,3,no,yes,yes,no,yes,no,no,yes,no
imesh,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
bittorrent,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,yes,yes,yes,no
imgur-uploading,media,photo-video,browser-based,2,no,no,no,yes,no,no,yes,yes,no
koolim,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
ms-groove,business-systems,office-programs,peer-to-peer,4,yes,no,yes,yes,no,no,yes,yes,no
unknown-p2p,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
peerenabler,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
cooltalk,collaboration,voip-video,browser-based,2,yes,no,no,no,no,no,no,yes,yes
http-nsri,general-internet,internet-utility,browser-based,4,no,no,yes,yes,yes,yes,no,no,no
netmeeting,collaboration,voip-video,client-server,4,yes,no,no,yes,yes,no,yes,yes,no
rpc,networking,infrastructure,network-protocol,2,no,no,no,no,yes,yes,no,yes,no
100bao,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
bgp,networking,routing,network-protocol,2,no,no,no,no,yes,no,no,yes,no
tunein,media,audio-streaming,client-server,2,yes,yes,no,no,no,no,no,yes,no
ciscovpn,networking,encrypted-tunnel,client-server,3,no,no,no,yes,yes,yes,no,yes,no
citrix,networking,remote-access,client-server,3,no,no,no,yes,yes,yes,no,yes,no
nateon-internal,business-systems,audio-streaming,browser-based,1,no,no,no,no,no,no,no,no,no
cvs,business-systems,general-business,client-server,3,no,no,no,yes,yes,no,no,yes,no
onehub-uploading,general-internet,file-sharing,browser-based,3,yes,no,no,yes,yes,no,no,no,yes
onehub,general-internet,file-sharing,browser-based,3,yes,no,no,yes,yes,no,no,no,yes
fasttrack,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
freenet,networking,encrypted-tunnel,peer-to-peer,5,yes,yes,yes,yes,yes,yes,yes,no,no
gkrellm,business-systems,management,client-server,1,no,no,no,no,yes,no,no,no,no
goboogy,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
lotus-notes,collaboration,email,client-server,5,no,no,yes,yes,yes,yes,yes,yes,no
