port,transport,service
0,ddp,other
0,udp,other
0,tcp,other
1,ddp,rtmp
1,udp,tcpmux
1,tcp,tcpmux
2,ddp,nbp
2,udp,compressnet
2,tcp,compressnet
3,udp,compressnet
3,tcp,compressnet
4,ddp,echo
5,udp,rje
5,tcp,rje
6,ddp,zip
7,udp,echo
7,tcp,echo
9,udp,discard
9,tcp,discard
11,udp,systat
11,tcp,systat
13,udp,daytime
13,tcp,daytime
17,udp,qotd
17,tcp,qotd
18,udp,msp
18,tcp,msp
19,udp,chargen
19,tcp,chargen
20,udp,ftp-data
20,tcp,ftp-data
21,udp,ftp
21,tcp,ftp
22,udp,ssh
22,tcp,ssh
23,udp,telnet
23,tcp,telnet
24,udp,mail-system
24,tcp,mail-system
25,udp,smtp
25,tcp,smtp
27,udp,nsw-fe
27,tcp,nsw-fe
29,udp,msg-icp
29,tcp,msg-icp
31,udp,msg-auth
31,tcp,msg-auth
33,udp,dsp
33,tcp,dsp
35,udp,printer-server
35,tcp,printer-server
37,udp,time
37,tcp,time
38,udp,rap
38,tcp,rap
39,udp,rlp
39,tcp,rlp
40,udp,unassigned
40,tcp,unassigned
41,udp,graphics
41,tcp,graphics
42,udp,name
42,tcp,name
43,udp,nicname
43,tcp,nicname
44,udp,mpm-flags
44,tcp,mpm-flags
45,udp,mpm
45,tcp,mpm
46,udp,mpm-snd
46,tcp,mpm-snd
47,udp,ni-ftp
47,tcp,ni-ftp
48,udp,auditd
48,tcp,auditd
49,udp,tacacs
49,tcp,tacacs
50,udp,re-mail-ck
50,tcp,re-mail-ck
51,udp,la-maint
51,tcp,la-maint
52,udp,xns-time
52,tcp,xns-time
53,udp,domain
53,tcp,domain
54,udp,xns-ch
54,tcp,xns-ch
55,udp,isi-gl
55,tcp,isi-gl
56,udp,xns-auth
56,tcp,xns-auth
57,udp,terminal-access
57,tcp,terminal-access
58,udp,xns-mail
58,tcp,xns-mail
59,udp,file-service
59,tcp,file-service
60,udp,unassigned
60,tcp,unassigned
61,udp,ni-mail
61,tcp,ni-mail
62,udp,acas
62,tcp,acas
63,udp,whois++
63,tcp,whois++
64,udp,covia
64,tcp,covia
65,udp,tacacs-ds
65,tcp,tacacs-ds
66,udp,sql*net
66,tcp,sql*net
67,udp,bootps
67,tcp,bootps
68,udp,bootpc
68,tcp,bootpc
69,udp,tftp
69,tcp,tftp
70,udp,gopher
70,tcp,gopher
71,udp,netrjs-1
71,tcp,netrjs-1
72,udp,netrjs-2
72,tcp,netrjs-2
73,udp,netrjs-3
73,tcp,netrjs-3
74,udp,netrjs-4
74,tcp,netrjs-4
75,udp,dial-out-service
75,tcp,dial-out-service
76,udp,deos
76,tcp,deos
77,udp,RJE-service
77,tcp,RJE-service
78,udp,vettcp
78,tcp,vettcp
79,udp,finger
79,tcp,finger
80,udp,http
80,tcp,http
81,udp,hosts2-ns
81,tcp,hosts2-ns
82,udp,xfer
82,tcp,xfer
83,udp,mit-ml-dev
83,tcp,mit-ml-dev
84,udp,ctf
84,tcp,ctf
85,udp,mit-ml-dev
85,tcp,mit-ml-dev
86,udp,mfcobol
86,tcp,mfcobol
87,udp,terminal-link
87,tcp,terminal-link
88,udp,kerberos
88,tcp,kerberos
89,udp,su-mit-tg
89,tcp,su-mit-tg
90,udp,dnsix
90,tcp,dnsix
91,udp,mit-dov
91,tcp,mit-dov
92,udp,npp
92,tcp,npp
93,udp,dcp
93,tcp,dcp
94,udp,objcall
94,tcp,objcall
95,udp,supdup
95,tcp,supdup
96,udp,dixie
96,tcp,dixie
97,udp,swift-rvf
97,tcp,swift-rvf
98,udp,tacnews
98,tcp,tacnews
99,udp,metagram
99,tcp,metagram
100,tcp,newacct
101,udp,hostname
101,tcp,hostname
102,udp,iso-tsap
102,tcp,iso-tsap
103,udp,gppitnp
103,tcp,gppitnp
104,udp,acr-nema
104,tcp,acr-nema
105,udp,cso
105,tcp,cso
105,udp,csnet-ns
105,tcp,csnet-ns
106,udp,3com-tsmux
106,tcp,3com-tsmux
107,udp,rtelnet
107,tcp,rtelnet
