THREAT_ID,NAME,DESCRIPTION,CVE_ID,BUGTRAQ_ID,VENDOR_ID,CATEGORY,SEVERITY,REFERENCE
34165,"Sun Java Web Proxy Server Buffer Overflow Vulnerability","Sun Java Socks Proxy is prone to a buffer overflow vulnerability while parsing certain crafted socks requests. The vulnerability is due to the lack of proper checks on user input filed in the socks request, leading to an exploitable buffer overflow. An attacker could exploit the vulnerability by sending a crafted socks request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2007-2881,24165,,overflow,high,http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=536;http://sunsolve.sun.com/search/document.do?assetkey=1-26-102927-1;http://www.kb.cert.org/vuls/id/746889;http://www.securityfocus.com/bid/24165;http://www.frsirt.com/english/advisories/2007/1957;http://www.securitytracker.com/id?1018130;
31601,"Sun Java Web Proxy Server Buffer Overflow Vulnerability","Multiple stack-based buffer overflows in the SOCKS proxy support (sockd) in Sun Java Web Proxy Server before 4.0.5 allow remote attackers to execute arbitrary code via crafted packets during protocol negotiation.",CVE-2007-2881;,24165;,,overflow,high,http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=536;http://sunsolve.sun.com/search/document.do?assetkey=1-26-102927-1;http://www.kb.cert.org/vuls/id/746889;http://www.securityfocus.com/bid/24165;http://www.frsirt.com/english/advisories/2007/1957;http://www.securitytracker.com/id?1018130;http://secunia.com/advisories/25405;http://xforce.iss.net/xforce/xfdb/34524;;
31951,"SunRPC XDR xdrmem_getbytes Overflow","XDR libraries derived from SunRPC is prone to an integer overflow vulnerability while parsing certain crafted RPC requests. The vulnerability is present in xdrmem_getbytes function and is due to the lack of proper checks while parsing certain RPC fields in the request. An attacker could exploit the vulnerability by sending a crafted RPC request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2003-0028;,,,overflow,high,http://www.eeye.com/html/Research/Advisories/AD20030318.html;http://www.kb.cert.org/vuls/id/516825;
32788,"UNIX NFS Export Directory Attempt","The Network File System (NFS) in UNIX allows a host to export some or all of its filesystems, or parts of them, so that other hosts can access them over the network and mount them as if they were on local disks. NFS is built on top of the Sun Remote Procedure Call (RPC) framework.",,,,info-leak,medium,http://www.securityfocus.com/infocus/1387;
33167,"IBM AIX rpc.cmsd Calendar Daemon Remote Stack Buffer Overflow Vulnerability","IBM AIX server is prone to a buffer overflow vulnerability while parsing certain crafted RPC requests.The vulnerability is due to the lack of proper checks on rpc.cmsd data in the rpc request, leading to an exploitable buffer overflow.An attacker could exploit the vulnerability by sending a crafted rpc request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2009-3699;,36615;,,overflow,high,http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=825;
30277,"MIT Kerberos kadmind RPC Library RPCSEC_GSS Authentication Buffer Overflow","RPC library in MIT Kerberos 5 (krb5) 1.6.2 and earlier is prone to a buffer overflow vulnerability while parsing certain craftedRPC requests. The vulnerability exists in the svcauth_gss_validate function in the library and is due to the lack of boundary checkson the length of certain RPC credential data. Since this user-supplied credential data is copied to finite stack buffers, it couldlead to an exploitable stack overflow. An attacker could exploit the vulnerabilityby sending a crafted RPC request which could lead to remote code execution on the server, or crash the server.",CVE-2007-3999;,25534;,,code-execution,high," http://web.mit.edu/kerberos/www/advisories/MITKRB5-SA-2007-006.txt ; http://secunia.com/advisories/26676/ ;"
30243,"MIT Kerberos kadmind RPC Library Unix Authentication Stack Overflow Vulnerability","RPC library in MIT Kerberos 5 (krb5) 1.6.1 and earlier is prone to a stack overflow vulnerability while parsing certain craftedRPC requests. The vulnerability exists in the gssrpc__svcauth_unix function in svc_auth_unix.c in RPC library and is due to thefailure of boundary checks while copying data to finite stack buffers. The boundary check failure is due to a signed comparison of a length value in RPC UNIX flavor credential data with a finite value. An attacker could exploit the vulnerabilityby sending a crafted RPC request which could lead to remote code execution on the server, or crash the server.",CVE-2007-2443;,24657;,,code-execution,high," http://www.kb.cert.org/vuls/id/365313 ; http://secunia.com/advisories/25800/ ; http://web.mit.edu/kerberos/www/advisories/MITKRB5-SA-2007-004.txt ;"
31077,"CA BrightStor ARCserve Backup Portmapper TADDR2UADDR DoS","Computer Associates) BrightStor ARCserve Backup 11.5 SP2 and earlier is prone to a denial of service vulnerability while handling certan crafted RPC requests. The vulnerability is present in the RPC Server service (catirpc.exe) , and is due to the lack of proper checks on certain fields passed through a crafted TADDR2UADDR. An attacker could exploit the vulnerability by sending a crafted RPC request, causing a NULL pointer dereference. A successful exploit could crash the service.",CVE-2007-0816;,22365;,,dos,medium,http://secunia.com/advisories/24512;http://www3.ca.com/securityadvisor/vulninfo/vuln.aspx?id=35058;
33169,"AIX libtt.a rpc.ttdbserver Buffer Overflow Vulnerability","AIX libtt.a rpc.ttdbserver is prone to an overflow vulnerability while parsing certain crafted long XDR-encoded ASCII string requests.The vulnerability is due to the lack of proper checks in the long XDR-encoded ASCII string request, leading to an exploitable overflow.An attacker could exploit the vulnerability by sending a crafted long XDR-encoded ASCII string request. A successful attack could lead to remote code execution with the privileges of the server.",CVE-2009-2727;,35419;,,overflow,high,http://risesecurity.org/advisories/RISE-2009001.txt;
32796,"UNIX Portmapper Remote Infomation Retrieving Attempt","Most Unix server can be retrieved information through a normal portmapper request.",,,,info-leak,low,
